date,Precio_Petroleo,ISE,Tasa de política monetaria(Dato mes),Inflación total(Dato fin de mes),Tasa Representativa del Mercado (TRM)(Promedio mensual),IPI,df_PIB
2020-05-01,32.42238095238095,90.9142055107903,"3,25","2,85","3.863,34",78.85219239663854,NA
2020-06-01,40.86045454545455,95.5340930384876,"2,75","2,19","3.693,00",86.5623220012742,NA
2020-07-01,43.29565217391304,98.8648777485721,"2,50","1,97","3.660,60",93.51475502859695,201141.604209195
2020-08-01,45.08142857142857,99.2586086995795,"2,25","1,88","3.788,10",92.5731368724539,NA
2020-09-01,41.92681818181818,102.77553219526,"2,00","1,97","3.749,86",94.05695064205642,NA
2020-10-01,41.60681818181818,105.37313731175,"1,75","1,75","3.833,06",98.11594876912966,215381.672300858
2020-11-01,44.05,106.109379782976,"1,75","1,49","3.680,67",96.59980114784463,NA
2020-12-01,50.37695652173913,108.061213596785,"1,75","1,61","3.468,50",99.65118372150239,NA
2021-01-01,55.2247619047619,107.647590836926,"1,75","1,60","3.494,53",92.65371496203426,222283.76274618
2021-02-01,62.3625,109.862917170949,"1,75","1,56","3.552,43",93.77625846234042,NA
2021-03-01,65.79608695652173,111.860985348799,"1,75","1,51","3.617,00",102.65948937032105,NA
2021-04-01,65.53181818181818,108.707902472535,"1,75","1,95","3.651,85",96.43639363366194,216884.699775203
2021-05-01,68.3752380952381,102.836551036556,"1,75","3,30","3.741,96",83.86868936296196,NA
2021-06-01,73.51272727272728,110.571611363827,"1,75","3,63","3.693,00",98.58012199788345,NA
2021-07-01,74.40318181818182,111.928460049044,"1,75","3,97","3.832,24",106.14764242011414,228045.501248765
2021-08-01,70.58818181818182,110.94191124159,"1,75","4,44","3.887,68",107.11253462466912,NA
2021-09-01,74.74954545454545,116.737973414937,"1,75","4,51","3.820,28",106.96858053952795,NA
2021-10-01,83.8652380952381,115.905470925088,"2,00","4,58","3.771,68",107.9822873141616,239029.036229852
2021-11-01,80.89045454545455,117.261631113046,"2,50","5,26","3.900,51",108.85795751742569,NA
2021-12-01,74.67826086956522,118.98277248265,"2,50","5,62","3.967,77",110.21032902058681,NA
2022-01-01,85.62238095238095,115.882942112476,"3,00","6,94","4.000,72",102.05629227964623,240009.747924415
2022-02-01,94.267,117.383669094087,"4,00","8,01","3.938,36",100.78811725989426,NA
2022-03-01,112.44,119.444681491925,"4,00","8,53","3.805,52",111.02842628703087,NA
2022-04-01,106.1557142857143,119.650195197527,"5,00","9,23","3.796,39",105.17788592064353,243631.247106784
2022-05-01,112.1136363636364,119.820227951846,"6,00","9,07","4.027,60",108.79074785697976,NA
2022-06-01,117.6927272727273,119.380115689941,"6,00","9,67","3.922,50",107.25175655002063,NA
2022-07-01,105.2528571428571,118.52848287637,"7,50","10,21","4.394,01",110.5514924738857,244793.933952446
2022-08-01,97.64304347826086,120.431030992153,"9,00","10,84","4.326,77",114.68089453696349,NA
2022-09-01,90.60818181818182,121.736127891677,"9,00","11,44","4.437,31",111.72476776497328,NA
2022-10-01,93.71857142857144,120.463119964344,"10,00","12,22","4.714,96",111.60256266606979,244220.071016356
2022-11-01,90.93863636363636,117.353736008014,"11,00","12,53","4.922,30",111.35592203200744,NA
2022-12-01,81.50318181818182,119.347895020341,"11,00","13,12","4.787,89",111.074086436137,NA
